,name,price,status,camera,processor,storage,battery,ram,display
81,Tecno Pop 6 Pro,"28,999",Upcoming,8MP Camera,Helio A22 Processor,32GB Internal Storage,5000mAh Li-Po Battery,2GB Memory (RAM),"6.6"" 720x1612 pixels Display"
82,Infinix Zero 20,"56,999",Available,108MP Camera,Helio G99 Processor,128GB/256GB Internal Storage,4500mAh Li-Po Battery,8GB Memory (RAM),"6.7"" 1080x2400 pixels Display"
83,Infinix Note 12 2023,"48,999",,50MP Camera,Helio G99 Processor,128GB Internal Storage,5000mAh Li-Po Battery,8GB Memory (RAM),"6.7"" 1080x2400 pixels Display"
84,Honor X6,"27,999",Upcoming,50MP Camera,Mediatek Processor,128GB Internal Storage,5000mAh Li-Po Battery,4GB Memory (RAM),"6.5"" 720x1600 pixels Display"
85,Motorola Moto E22i,"27,999",Upcoming,16MP Camera,MT6765V/CB Helio G37 Processor,32GB Internal Storage,4020mAh Li-Po Battery,2GB Memory (RAM),"6.5"" 720x1600 pixels Display"
86,OnePlus 11 Pro,"173,999",Upcoming,50MP Camera,Snapdragon 8 Gen 2 Processor,128GB/256GB/512GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB/16GB Memory (RAM),"6.7"" 1440x3216 pixels Display"
87,Motorola Moto E22,"30,999",Upcoming,16MP Camera,MT6765V/CB Helio G37 Processor,64GB Internal Storage,4020mAh Li-Po Battery,4GB Memory (RAM),"6.5"" 720x1600 pixels Display"
88,Vivo X80 Lite,"119,999",Upcoming,64MP Camera,Dimensity 900 Processor,256GB Internal Storage,4500mAh Li-Po Battery,8GB Memory (RAM),"6.44"" 1080x2404 pixels Display"
89,Xiaomi 11 Lite 5G NE,"70,999",Available,64MP Camera,Snapdragon 778G 5G Processor,128GB/256GB Internal Storage,4250mAh Li-Po Battery,6GB/8GB Memory (RAM),"6.55"" 1080x2400 pixels Display"
90,Vivo X Fold Plus,"253,999",Upcoming,50MP Camera,Snapdragon 8+ Gen 1 Processor,256GB/512GB Internal Storage,4730mAh Li-Po Battery,12GB Memory (RAM),"8.03"" 1916x2160 pixels Display"
91,Xiaomi 12T Pro,"189,999",Upcoming,200MP Camera,Snapdragon 8+ Gen 1 Processor,256GB Internal Storage,4600mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.67"" 1220x2712 pixels Display"
92,Xiaomi 12T,"144,999",Upcoming,108MP Camera,Dimensity 8100 Ultra Processor,128GB/256GB Internal Storage,4600mAh Li-Po Battery,8GB Memory (RAM),"6.67"" 1220x2712 pixels Display"
93,Tecno Pop 6 Go,"154,999",Upcoming,5MP Camera,N/A Processor,16GB/32GB Internal Storage,4000mAh Li-Ion Battery,1GB/2GB Memory (RAM),"6.0"" 480x960 pixels Display"
94,Tecno Pop 6,"25,999",Upcoming,5MP Camera,N/A Processor,32GB Internal Storage,5000mAh Li-Ion Battery,2GB Memory (RAM),"6.1"" 720x1560 pixels Display"
95,Oppo F21s Pro 5G,NA,Upcoming,64MP Camera,Snapdragon 695 SoC Processor,128GB Internal Storage,"4,500 mAh battery Battery",8GB Memory (RAM),6.4-inches Display
96,Realme C30s,"23,999",Upcoming,8MP Camera,,32GB/64GB Internal Storage,5000mAh Li-Po Battery,2GB/3GB/4GB Memory (RAM),"6.5"" 720x1600 pixels Display"
97,Vivo iQOO Z6 Lite,"39,999",Upcoming,50MP Camera,Snapdragon 4 Gen 1 Processor,64GB/128GB Internal Storage,5000mAh Li-Po Battery,4GB/6GB Memory (RAM),"6.58"" 1080x2408 pixels Display"
98,Honor X40,"44,999",Upcoming,50MP Camera,Snapdragon 695 5G Processor,128GB/256GB Internal Storage,5100mAh Li-Po Battery,6GB/8GB Memory (RAM),"6.67"" 1080x2400 pixels Display"
99,Xiaomi Redmi A1,"29,999",Upcoming,8MP Camera,Helio A22 Processor,32GB Internal Storage,5000mAh Li-Po Battery,2GB Memory (RAM),"6.52"" 720x1600 pixels Display"
